counter_id,measurement_id_and_name,measurement_id,measurement_name,measurement_description,measurement_network_profile,measurement_nw_aggregation_levels,network_element_name,netact_name,product_type,description,updated,logical_type,trigger_type,sampling_interval,unit,range,example_values,dependencies_with_other_counters,operability_class,related_to_feature,related_to_standard,3gpp_measurement_name,3gpp_measurement_type,exceptions_to_related_standard,used_from_release,filter,is_archived,logical_type_upper
001000,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,SEIZURE ATTEMPTS,SDCCH_SEIZ_ATT,BSC,Number of times when an MS attempts to seize an SDCCH.,"When the RRM receives requests for SDCCH from an MS as the MS needs a channel for either a call or a HO. 

See figures: 
- Basic call with counters
- FACCH call setup due to SDCCH congestion with counters 
- FACCH call setup due to SDCCH congestion, no free TCH channel 
- SDCCH congestion, FACCH call setup is not activated 
- Successful SDCCH internal intra-cell handover 
- Successful SDCCH internal inter-cell handover 
- Successful SDCCH external handover target 
- Reconfiguration from TCH to SDCCH",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001001,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,SEIZURE ATTEMPTS WITH BUSY SDCCH,SDCCH_BUSY_ATT,BSC,"Number of times when an MS attempts to seize an SDCCH but the attempt is unsuccessful because all SDCCHs are busy. This counter does not necessarily mean that the call attempt is lost, because the call may be established as an FACCH call setup using TCH instead of SDCCH.  This counter is not triggered when the TCH reconfiguration is attempted because of dynamic SDCCH allocation. If the attempt fails, the SDCCH_busy_attempt is triggered together with 1155 UNSUCC_IMM_ASS_SDCCH_ATTEMPT.","When the RRM has no SDCCHs to allocate for a call or HO attempts. 

See figures: 
- FACCH call setup due to SDCCH congestion with counters 
- FACCH call setup because of SDCCH congestion 
- SDCCH congestion, FACCH call setup is not activated",Sum,Event,,Integer number,,,,,• BSS20003: CS Statistics Enhancements,,,,,S1,1,0.0,SUM
001002,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TRANSACTIONS FAIL DUE TO BSS FAIL,SDCCH_BSS_FAIL,BSC,"Number of SDCCH transactions ended because of a BSS failure.

Impact: See field descriptions of the counters 001033, 001034, 001035, and 001036.","When one of the counters 001033, 001034, 001035, or 001036 is updated. This counter represents their sum. 

See figures: 
- Unsuccessful SDCCH activation, timer expires while waiting for CHANNEL_ACTIVATION_ACK message  
- SDCCH assignment failure 
- Unsuccessful SDCCH activation, timer expires while waiting for PHYSICAL_CONTEXT_CONFIRM message 
- TRX/TSL is blocked with different causes during an SDCCH channel activation 
- Unsuccessful SDCCH internal intra-cell handover, timer expires while waiting for CHANNEL_ACTIVATION_ACK message 
- Unsuccessful SDCCH external handover, timer expires while waiting for CLEAR_COMMAND message",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001003,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TRANSACTIONS FAIL DUE TO RADIO FAIL,SDCCH_RADIO_FAIL,BSC,"Number of SDCCH transactions ended because of a radio failure.

Impact: Call cleared

Reason for the Impact: External / Abis Interface","When an SDCCH transaction ends because of a radio failure (radio link timeout) and the RRM releases the SDCCH. 

This counter is updated in call phases 1-8 only.

See figures: 
- TCH assignment failure 
- Connection failure during SDCCH assignment",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001004,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TRANSACTIONS FAIL DUE RADIO ON SOURCE CHANNEL DURING HO,SDCCH_RF_OLD_HO,BSC,"Number of SDCCH transactions ended because of a radio failure on the source channel during a handover between SDCCH-SDCCH or SDCCH-TCH.

It is this counter in the source cell that is updated. If the target cell lies within the same BSC, also counter 001005 in the target cell is updated along with this counter.

Impact: HO failure and call cleared","When an SDCCH transaction ends because of a radio failure (HO failure) on the source channel during a handover attempt and the RRM releases the SDCCH. 

This counter is updated in call phases 9-11 only.

See figure Unsuccessful SDCCH internal inter-cell handover, BTS sends CONNECTION_FAILURE message.",Sum,Event,,Integer number,,,001005 (TRANSACTIONS FAIL DUE RADIO ON TARGET CHANNEL),,,,,,,S1,1,0.0,SUM
001016,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,CALL ATTEMPTS IN THE QUEUE,TCH_QD_CALL_ATT,BSC,"Number of call attempts set in the queue for a TCH.

Counter 001010 is updated along with this counter.","When the RRM puts a TCH request for call attempt in the queue since it has no TCHs of the requested kind available. 

See figures: 
- Successful TCH queuing 
- Basic call, no free TCHs, unsuccessful queuing and directed retry not activated",Sum,Event,,Integer number,,,001010 (TCH REQUEST SUCCESS AND UNSUCCESS),,,,,,,S1,1,0.0,SUM
001005,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TRANSACTIONS FAIL DUE RADIO ON TARGET CHANNEL,SDCCH_RF_NEW_HO,BSC,"Number of SDCCH transactions ended because of a radio failure on the target channel during an SDCCH HO.

Impact: HO failure, the call may possibly be cleared

Reason for the impact: Since the MS cannot access the target channel, a radio failure occurs. The unsuccessful seizure may have been caused by a missing indication of call establishment, missing detection of HO, missing indication of the HO completed, or corrupted messages related to the HO.","When an SDCCH transaction ends because of a radio failure on the target channel during a handover attempt and the RRM releases the SDCCH. 

This counter is updated in call phases 12-14 only.

See figure Unsuccessful SDCCH internal intra-cell handover, CONNECTION_FAILURE message comes to the target channel during handover.",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001006,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,SUCCESS SEIZURE FOR HO,SDCCH_HO_SEIZ,BSC,Number of successful SDCCH seizures for a handover.,"When the RRM allocates an SDCCH as a response to an SDCCH request in a handover attempt.

See figures:
- Successful SDCCH internal intra-cell handover
- Successful SDCCH internal inter-cell handover
- Successful SDCCH external handover target",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001007,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,SUCCESS SEIZURE FOR IMMEDIATE ASSIGNMENT,SDCCH_ASSIGN,BSC,Number of successful seizures of SDCCH for an immediate assignment.,"When the RRM allocates an SDCCH for an immediate assignment in a call attempt.

See figures:
- Basic call with counters
- Reconfiguration from TCH to SDCCH",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001008,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,SUCCESS TCH SEIZURE FOR HO,TCH_HO_SEIZ,BSC,Number of successful requests for a TCH in a handover.,"When the RRM allocates a TCH as a response to a TCH request in a handover attempt. The channel is reserved by the RRM, but the success of the HO is not known in this phase.

See figures:
- Successful internal intra-cell handover
- Internal intra-cell HO, successful TCH queuing
- Successful internal inter-cell handover
- Successful external handover, target",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
