begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,ifInMCastPackets,ifOutFragPackets,ifInErrors,ifInMCastOctets,ifInDiscardedMCastOctets,ifOutMCastPackets,ifOutMCastOctets,ifOutFragments,ifInOctets,ifInDiscardedMCastPackets,ifOutOctets,ifInPackets,ifOutPackets,ifOutDroppedPackets,ifOutDroppedOctets
2022-03-11,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15456.0,dynamic,100.0,65847.0,0.0,0.0,5123228.0,5123228.0,0.0,0.0,0.0,410461428.0,65847.0,256992988.0,4554904.0,2873206.0,0.0,0.0
2022-03-11,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15457.0,dynamic,100.0,66796.0,244741.0,0.0,5196986.0,5196986.0,0.0,0.0,489482.0,305865107112.0,66796.0,39178363644.0,262899537.0,166301076.0,0.0,0.0
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15458.0,dynamic,100.0,66803.0,2.0,0.0,5197500.0,5197500.0,0.0,0.0,2.0,108868066.0,66803.0,13379999.0,1494414.0,13446.0,0.0,0.0
2022-03-11,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15459.0,dynamic,100.0,66818.0,2.0,0.0,5199022.0,5199022.0,0.0,0.0,4.0,25751803938.0,66818.0,3929100142.0,22437731.0,14042219.0,0.0,0.0
2022-03-11,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15460.0,dynamic,100.0,66821.0,21.0,0.0,5198618.0,5198618.0,0.0,0.0,42.0,76808798806.0,66821.0,8619874215.0,64974982.0,42969764.0,0.0,0.0
2022-03-11,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15461.0,dynamic,100.0,67038.0,0.0,0.0,5216070.0,5216070.0,0.0,0.0,0.0,738666718.0,67038.0,251489784.0,8081560.0,4220229.0,0.0,0.0
2022-03-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15462.0,dynamic,90.0,59719.0,253.0,0.0,4646742.0,4646742.0,0.0,0.0,506.0,406498986703.0,59719.0,61894766354.0,363067369.0,262885534.0,0.0,0.0
2022-03-11,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15463.0,dynamic,100.0,66796.0,0.0,0.0,5196756.0,5196756.0,0.0,0.0,0.0,787034440.0,66796.0,296427476.0,8766916.0,4681070.0,0.0,0.0
2022-03-11,"MRBTS-5081,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15464.0,dynamic,100.0,66806.0,0.0,0.0,5197648.0,5197648.0,0.0,0.0,0.0,1294960736.0,66806.0,838794652.0,14016320.0,9042000.0,0.0,0.0
2022-03-11,"MRBTS-5078,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15465.0,dynamic,100.0,66815.0,0.0,0.0,5198368.0,5198368.0,0.0,0.0,0.0,1225010320.0,66815.0,756426164.0,12953143.0,8134523.0,0.0,0.0
